,url:,text:
200,http://www.buckleyprogram.com/,"William F. Buckley, Jr. Program "
201,https://www.ycc.yale.edu/,Yale College Council
202,http://www.yaledemocrats.com/,Yale College Democrats
203,https://www.facebook.com/yalegop/,Yale College Republicans
204,http://ymun.yira.org/,Yale Model United Nations
205,https://orgsync.com/150198/chapter,Yale Political Union
206,https://medium.com/accent-magazine,Accent Multilingual Magazine
207,https://chinahandsmagazine.org/,China Hands Magazine
208,http://downatyale.com/,DOWN Magazine
209,http://kalliopeatyale.tumblr.com/,Kalliope
210,http://www.yalerumpus.com/,Rumpus Magazine
211,http://theboola.com/,The Boola
212,http://www.thenewjournalatyale.com/,The New Journal
213,http://tyglobalist.org/,The Yale Globalist
214,http://yaleherald.com/,The Yale Herald
215,http://www.yale.edu/yalehistoricalreview/,The Yale Historical Review
216,http://www.yale.edu/ylit/,The Yale Literary Magazine
217,http://www.thepolitic.org/,The Yale Politic
218,http://www.yaledailynews.com/,Yale Daily News
219,http://yaledailynews.com/blog/category/mag/,Yale Daily News Magazine
220,http://www.yaleeconomicreview.org/,Yale Economic Review
221,https://yaleglobalhealthreview.com/,Yale Global Health Review
222,http://www.yalerecord.com/,Yale Record
223,http://www.yale.edu/yrurp/,Yale Review of Psychology
224,http://www.yaleujep.com/,Yale Undergraduate Journal of Economics and Politics
225,http://aiayale.tumblr.com/,Athletes in Action
226,http://www.chabadyale.org/,Chabad at Yale
227,http://episcopalyale.org/,Episcopal Church at Yale
228,http://www.yale.edu/hindu/,Hindu Students Council
229,https://www.slifkacenter.org/student-group/jews-and-muslims-at-yale/,Jews and Muslims at Yale
230,http://yalemormons.blogspot.com/,Latter-Day Saints Student Association
231,http://livingwateryale.com/,Living Water
232,http://yalelogos.com/,Logos
233,http://meoryale.com/,Meor at Yale
234,https://www.facebook.com/YaleMSA/,Muslim Student Association
235,http://stm.yale.edu/index.php,Saint Thomas More Catholic Center and Chapel
236,http://bcay.org/,The Black Church at Yale
237,http://church.yale.edu/,University Church in Yale
238,https://www.facebook.com/yalesangha,Yale Buddhist Sangha
239,http://www.yalehillel.org/,Yale Hillel
240,https://yalehumanists.com/,Yale Humanist Community
241,https://yalelutherhouse.com/,Yale Luther House
242,http://www.yalestudentsforchrist.org/,Yale Students for Christ
243,http://nacc.yalecollege.yale.edu/student-groups-0,American Indian Science and Engineering Society
244,https://www.facebook.com/yalechapterofasme/,American Society of Mechanical Engineers
245,http://www.yale.edu/bmes/,Biomedical Engineering Society
246,http://bulldogsracing.com/,Bulldogs Racing Team
247,http://yalecode4good.org,Code4Good
248,http://www.yale.edu/demos/,DEMOS
249,http://ewhyale.wixsite.com/club,Engineering World Health
250,http://ewb.sites.yale.edu/,Engineers Without Borders
251,http://yalewics.com,Float Yale
252,http://hackyale.com/,HackYale
253,http://www.mathcountsoutreach.org/,MATHCOUNTS Outreach
254,http://yalemedicalprofessionsoutreach.wordpress.com/,Medical Professions Outreach
255,http://www.yale.edu/pmed/,Minority Association of Pre-Medical Students
256,http://shecodeatyale.wordpress.com,SheCode
257,http://www.yale.edu/yusbs/,Society for the Biological Sciences
258,http://thinkspaces.org/,Thinkspaces
259,http://venturesinscience.sites.yale.edu/mission,Ventures in Science
260,https://www.facebook.com/pages/Yale-Women-in-Physics/1407267892833562,Women in Physics
261,http://www.yale.edu/wisay/,Women in Science at Yale
262,https://yaledatascience.github.io/,Yale Data Science
263,https://www.yalehelix.org/,Yale Helix Group
264,http://www.yalescientific.org/,Yale Scientific Magazine
265,http://spsyale.sites.yale.edu/,Yale Society of Physics Students
266,http://yaleaerospace.com/,Yale Undergraduate Aerospace Association
267,http://yuso.yale.edu/,Yale Undergraduate Science Olympiad
268,http://www.1vyg.org/,1vyG
269,http://www.yale.edu/amnesty/,Amnesty International
270,http://www.yale.edu/bridges/,Bridges
271,http://campkesem.org/yale,Camp Kesem
272,http://www.yale.edu/caspy/,Chinese Adopted Siblings Program for Youth
273,https://www.chooselifeatyale.org/,Choose Life at Yale
274,https://codehavenyale.com/,Code Haven
275,https://www.dfayale.com/,Design for America
276,http://dwighthall.org/,Dwight Hall
277,http://habitat.sites.yale.edu/,Habitat for Humanity
278,http://campuspress.yale.edu/mecha/,MEChA
279,https://yale.learningu.org/learn/splash.html,Splash at Yale
280,http://www.squashhaven.org/,Squash Haven
281,https://www.facebook.com/TEDxYale/,TEDxYale
282,http://udl.sites.yale.edu/,Urban Debate League
283,http://walden.sites.yale.edu/,Walden Peer Counseling
284,https://www.facebook.com/yalewli/,Women's Leadership Initiative
285,https://www.facebook.com/yaleanimalwelfare,Yale Animal Welfare Alliance
286,http://www.yalechildrenstheater.org/,Yale Children's Theater
287,http://www.yale.edu/yhhap/YHHAP.html,Yale Hunger & Homelessness Action Project
288,http://www.yale.edu/leadership/,Yale Leadership Institute
289,http://yalerefugeeproject.strikingly.com/,Yale Refugee Project
290,http://yaleysec.wordpress.com/,Yale Student Environmental Coalition
291,http://yale-unicef.wix.com/home,Yale Undergraduate Students for UNICEF
292,https://collegearts.yale.edu/organizations/yale-drama-coalition/resources/perfor...,Heritage Theater Ensemble
293,http://www.lux-improvitas.com/,Lux Improvitas
294,http://collegearts.yale.edu/organizations/yale-drama-coalition/resources/perform...,Opera Theatre of Yale College
295,https://www.facebook.com/pages/Oye-Spoken-Word/143272145784194,Oye!
296,https://www.facebook.com/TeethSlamPoets/,Teeth Slam Poets
297,https://telltaleyale.wordpress.com/,Telltale
298,http://www.cntrlgrp.com/,The Control Group
299,http://www.yaledramacoalition.org/,The Yale Drama Coalition
300,http://www.yale.edu/word/,WORD
301,http://www.yaleantigravity.org/,Yale Anti-Gravity Society
